2023.05.13 00:07:54 [6ccc,9cd4] | protocol ctor 
2023.05.13 00:07:54 [6ccc,9cd4] | disconnect 
2023.05.13 00:07:54 [6ccc,9cd4] | is stopped 
2023.05.13 00:07:54 [6ccc,9cd4] | SSL connect: 192.168.2.12:4050 
2023.05.13 00:07:55 [6ccc,9cd4] | start thread 
2023.05.13 00:07:55 [6ccc,9cd4] | payment 1000 
2023.05.13 00:07:55 [6ccc,9cd4] | displayevent 0 
2023.05.13 00:07:55 [6ccc,9cd4] | displayevent 1 
2023.05.13 00:08:03 [6ccc,9cd4] | displayevent 0 
2023.05.13 00:08:08 [6ccc,9cd4] | printer event 
2023.05.13 00:08:09 [6ccc,9cd4] | disconnect 
2023.05.13 00:08:09 [6ccc,103c8] | thread exit 
2023.05.13 00:08:09 [6ccc,9cd4] | portclose 
2023.05.13 00:08:41 [6ccc,ea4c] | protocol ctor 
2023.05.13 00:08:41 [6ccc,ea4c] | disconnect 
2023.05.13 00:08:41 [6ccc,ea4c] | is stopped 
2023.05.13 00:08:41 [6ccc,ea4c] | SSL connect: 192.168.2.12:4050 
2023.05.13 00:08:42 [6ccc,ea4c] | start thread 
2023.05.13 00:08:42 [6ccc,ea4c] | cancellation 
2023.05.13 00:08:42 [6ccc,ea4c] | displayevent 0 
2023.05.13 00:08:45 [6ccc,ea4c] | disconnect 
2023.05.13 00:08:45 [6ccc,9bcc] | thread exit 
2023.05.13 00:08:45 [6ccc,ea4c] | portclose 
2023.05.13 00:08:50 [6ccc,9610] | protocol ctor 
2023.05.13 00:08:50 [6ccc,9610] | disconnect 
2023.05.13 00:08:50 [6ccc,9610] | is stopped 
2023.05.13 00:08:50 [6ccc,9610] | SSL connect: 192.168.2.12:4050 
2023.05.13 00:08:51 [6ccc,9610] | start thread 
2023.05.13 00:08:51 [6ccc,9610] | payment 1200 
2023.05.13 00:08:51 [6ccc,9610] | displayevent 0 
2023.05.13 00:08:52 [6ccc,9610] | displayevent 1 
2023.05.13 00:09:00 [6ccc,9610] | displayevent 0 
2023.05.13 00:09:05 [6ccc,9610] | printer event 
2023.05.13 00:09:06 [6ccc,9610] | disconnect 
2023.05.13 00:09:06 [6ccc,f63c] | thread exit 
2023.05.13 00:09:06 [6ccc,9610] | portclose 
2023.05.13 00:09:19 [6ccc,9610] | protocol ctor 
2023.05.13 00:09:19 [6ccc,9610] | disconnect 
2023.05.13 00:09:19 [6ccc,9610] | is stopped 
2023.05.13 00:09:19 [6ccc,9610] | SSL connect: 192.168.2.12:4050 
2023.05.13 00:09:19 [6ccc,9610] | start thread 
2023.05.13 00:09:19 [6ccc,9610] | cancellation 
2023.05.13 00:09:19 [6ccc,9610] | displayevent 0 
2023.05.13 00:09:22 [6ccc,9610] | disconnect 
2023.05.13 00:09:22 [6ccc,cd90] | thread exit 
2023.05.13 00:09:22 [6ccc,9610] | portclose 
2023.05.13 00:12:57 [6ccc,9610] | protocol ctor 
2023.05.13 00:12:57 [6ccc,9610] | disconnect 
2023.05.13 00:12:57 [6ccc,9610] | is stopped 
2023.05.13 00:12:57 [6ccc,9610] | SSL connect: 192.168.2.12:4050 
2023.05.13 00:12:58 [6ccc,9610] | start thread 
2023.05.13 00:12:58 [6ccc,9610] | cancellation 
